x         z         rate
  -11.04       -5.88            0.04
  -11.00       -5.88            0.04
  -10.96       -5.88            0.04
  -10.92       -5.88            0.04
  -10.88       -5.88            0.04
  -10.84       -5.88            0.04
  -10.80       -5.88            0.04
  -10.76       -5.88            0.04
  -10.72       -5.88            0.04
  -10.68       -5.88            0.04
  -10.64       -5.88            0.04
  -10.60       -5.88            0.04
  -10.56       -5.88            0.04
  -10.52       -5.88            0.03
  -10.48       -5.88            0.03
  -10.44       -5.88            0.03
  -10.40       -5.88            0.03
  -10.36       -5.88            0.03
  -10.32       -5.88            0.03
  -10.28       -5.88            0.03
  -10.24       -5.88            0.03
  -10.20       -5.88            0.03
  -10.16       -5.88            0.03
  -10.12       -5.88            0.03
  -10.08       -5.88            0.03
  -10.04       -5.88            0.03
  -10.00       -5.88            0.03
   -9.96       -5.88            0.03
   -9.92       -5.88            0.02
   -9.88       -5.88            0.02
   -9.84       -5.88            0.02
   -9.80       -5.88            0.02
   -9.76       -5.88            0.02
   -9.72       -5.88            0.02
   -9.68       -5.88            0.02
   -9.64       -5.88            0.02
   -9.60       -5.88            0.02
   -9.56       -5.88            0.02
   -9.52       -5.88            0.02
   -9.48       -5.88            0.02
   -9.44       -5.88            0.02
   -9.40       -5.88            0.02
   -9.36       -5.88            0.02
   -9.32       -5.88            0.02
   -9.28       -5.88            0.02
   -9.24       -5.88            0.02
   -9.20       -5.88            0.02
   -9.16       -5.88            0.02
   -9.12       -5.88            0.02
   -9.08       -5.88            0.02
   -9.04       -5.88            0.02
   -9.00       -5.88            0.02
   -8.96       -5.88            0.02
   -8.92       -5.88            0.02
   -8.88       -5.88            0.02
   -8.84       -5.88            0.02
   -8.80       -5.88            0.02
   -8.76       -5.88            0.02
   -8.72       -5.88            0.02
   -8.68       -5.88            0.02
   -8.64       -5.88            0.02
   -8.60       -5.88            0.02
   -8.56       -5.88            0.02
   -8.52       -5.88            0.02
   -8.48       -5.88            0.02
   -8.44       -5.88            0.02
   -8.40       -5.88            0.02
   -8.36       -5.88            0.02
   -8.32       -5.88            0.02
   -8.28       -5.88            0.02
   -8.24       -5.88            0.02
   -8.20       -5.88            0.02
   -8.16       -5.88            0.02
   -8.12       -5.88            0.02
   -8.08       -5.88            0.02
   -8.04       -5.88            0.02
   -8.00       -5.88            0.02
   -7.96       -5.88            0.02
   -7.92       -5.88            0.02
   -7.88       -5.88            0.02
   -7.84       -5.88            0.02
   -7.80       -5.88            0.02
   -7.76       -5.88            0.02
   -7.72       -5.88            0.02
   -7.68       -5.88            0.02
   -7.64       -5.88            0.02
   -7.60       -5.88            0.02
   -7.56       -5.88            0.02
   -7.52       -5.88            0.02
   -7.48       -5.88            0.02
   -7.44       -5.88            0.02
   -7.40       -5.88            0.02
   -7.36       -5.88            0.02
   -7.32       -5.88            0.02
   -7.28       -5.88            0.02
   -7.24       -5.88            0.02
   -7.20       -5.88            0.02
   -7.16       -5.88            0.02
   -7.12       -5.88            0.02
   -7.08       -5.88            0.02
   -7.04       -5.88            0.02
   -7.00       -5.88            0.02
   -6.96       -5.88            0.02
   -6.92       -5.88            0.02
   -6.88       -5.88            0.02
   -6.84       -5.88            0.02
   -6.80       -5.88            0.02
   -6.76       -5.88            0.02
   -6.72       -5.88            0.02
   -6.68       -5.88            0.02
   -6.64       -5.88            0.02
   -6.60       -5.88            0.02
   -6.56       -5.88            0.02
   -6.52       -5.88            0.02
   -6.48       -5.88            0.02
   -6.44       -5.88            0.02
   -6.40       -5.88            0.02
   -6.36       -5.88            0.02
   -6.32       -5.88            0.02
   -6.28       -5.88            0.02
   -6.24       -5.88            0.02
   -6.20       -5.88            0.01
   -6.16       -5.88            0.01
   -6.12       -5.88            0.01
   -6.08       -5.88            0.01
   -6.04       -5.88            0.01
   -6.00       -5.88            0.01
   -5.96       -5.88            0.01
   -5.92       -5.88            0.01
   -5.88       -5.88            0.01
   -5.84       -5.88            0.01
   -5.80       -5.88            0.01
   -5.76       -5.88            0.01
   -5.72       -5.88            0.01
   -5.68       -5.88            0.01
   -5.64       -5.88            0.01
   -5.60       -5.88            0.01
   -5.56       -5.88            0.01
   -5.52       -5.88            0.01
   -5.48       -5.88            0.01
   -5.44       -5.88            0.01
   -5.40       -5.88            0.01
   -5.36       -5.88            0.01
   -5.32       -5.88            0.01
   -5.28       -5.88            0.01
   -5.24       -5.88            0.01
   -5.20       -5.88            0.01
   -5.16       -5.88            0.01
   -5.12       -5.88            0.01
   -5.08       -5.88            0.01
   -5.04       -5.88            0.01
   -5.00       -5.88            0.00
   -4.96       -5.88            0.00
   -4.92       -5.88            0.00
   -4.88       -5.88            0.00
   -4.84       -5.88            0.00
   -4.80       -5.88            0.00
   -4.76       -5.88            0.00
   -4.72       -5.88            0.00
   -4.68       -5.88            0.00
   -4.64       -5.88            0.00
   -4.60       -5.88            0.00
   -4.56       -5.88            0.00
   -4.52       -5.88            0.00
   -4.48       -5.88            0.00
   -4.44       -5.88            0.00
   -4.40       -5.88            0.00
   -4.36       -5.88            0.00
   -4.32       -5.88            0.00
   -4.28       -5.88            0.00
   -4.24       -5.88            0.00
   -4.20       -5.88            0.00
   -4.16       -5.88            0.00
   -4.12       -5.88            0.00
   -4.08       -5.88            0.00
   -4.04       -5.88            0.01
   -4.00       -5.88            0.01
   -3.96       -5.88            0.01
   -3.92       -5.88            0.01
   -3.88       -5.88            0.01
   -3.84       -5.88            0.01
   -3.80       -5.88            0.01
   -3.76       -5.88            0.01
   -3.72       -5.88            0.01
   -3.68       -5.88            0.01
   -3.64       -5.88            0.01
   -3.60       -5.88            0.01
   -3.56       -5.88            0.01
   -3.52       -5.88            0.01
   -3.48       -5.88            0.02
   -3.44       -5.88            0.02
   -3.40       -5.88            0.02
   -3.36       -5.88            0.02
   -3.32       -5.88            0.02
   -3.28       -5.88            0.02
   -3.24       -5.88            0.02
   -3.20       -5.88            0.02
   -3.16       -5.88            0.02
   -3.12       -5.88            0.02
   -3.08       -5.88            0.02
   -3.04       -5.88            0.03
   -3.00       -5.88            0.03
   -2.96       -5.88            0.03
   -2.92       -5.88            0.03
   -2.88       -5.88            0.03
   -2.84       -5.88            0.03
   -2.80       -5.88            0.03
   -2.76       -5.88            0.03
   -2.72       -5.88            0.03
   -2.68       -5.88            0.03
   -2.64       -5.88            0.03
   -2.60       -5.88            0.04
   -2.56       -5.88            0.04
   -2.52       -5.88            0.04
   -2.48       -5.88            0.04
   -2.44       -5.88            0.04
   -2.40       -5.88            0.04
   -2.36       -5.88            0.04
   -2.32       -5.88            0.04
   -2.28       -5.88            0.04
   -2.24       -5.88            0.04
   -2.20       -5.88            0.04
   -2.16       -5.88            0.04
   -2.12       -5.88            0.04
   -2.08       -5.88            0.04
   -2.04       -5.88            0.04
   -2.00       -5.88            0.04
   -1.96       -5.88            0.04
   -1.92       -5.88            0.04
   -1.88       -5.88            0.04
   -1.84       -5.88            0.04
   -1.80       -5.88            0.04
   -1.76       -5.88            0.04
   -1.72       -5.88            0.04
   -1.68       -5.88            0.04
   -1.64       -5.88            0.04
   -1.60       -5.88            0.04
   -1.56       -5.88            0.04
   -1.52       -5.88            0.04
   -1.48       -5.88            0.03
   -1.44       -5.88            0.03
   -1.40       -5.88            0.03
   -1.36       -5.88            0.03
   -1.32       -5.88            0.03
   -1.28       -5.88            0.03
   -1.24       -5.88            0.03
   -1.20       -5.88            0.03
   -1.16       -5.88            0.02
   -1.12       -5.88            0.02
   -1.08       -5.88            0.02
   -1.04       -5.88            0.02
   -1.00       -5.88            0.02
   -0.96       -5.88            0.02
   -0.92       -5.88            0.02
   -0.88       -5.88            0.02
   -0.84       -5.88            0.02
   -0.80       -5.88            0.02
   -0.76       -5.88            0.02
   -0.72       -5.88            0.02
   -0.68       -5.88            0.02
   -0.64       -5.88            0.02
   -0.60       -5.88            0.02
   -0.56       -5.88            0.02
   -0.52       -5.88            0.02
   -0.48       -5.88            0.02
   -0.44       -5.88            0.02
   -0.40       -5.88            0.02
   -0.36       -5.88            0.03
   -0.32       -5.88            0.03
   -0.28       -5.88            0.03
   -0.24       -5.88            0.03
   -0.20       -5.88            0.03
   -0.16       -5.88            0.03
   -0.12       -5.88            0.03
 
  -11.92       -5.84            0.06
  -11.88       -5.84            0.06
  -11.84       -5.84            0.06
  -11.80       -5.84            0.06
  -11.76       -5.84            0.06
  -11.72       -5.84            0.06
  -11.68       -5.84            0.05
  -11.64       -5.84            0.05
  -11.60       -5.84            0.05
  -11.56       -5.84            0.05
  -11.52       -5.84            0.05
  -11.48       -5.84            0.05
  -11.44       -5.84            0.05
  -11.40       -5.84            0.05
  -11.36       -5.84            0.05
  -11.32       -5.84            0.05
  -11.28       -5.84            0.05
  -11.24       -5.84            0.05
  -11.20       -5.84            0.05
  -11.16       -5.84            0.05
  -11.12       -5.84            0.05
  -11.08       -5.84            0.05
  -11.04       -5.84            0.04
  -11.00       -5.84            0.04
  -10.96       -5.84            0.04
  -10.92       -5.84            0.04
  -10.88       -5.84            0.04
  -10.84       -5.84            0.04
  -10.80       -5.84            0.04
  -10.76       -5.84            0.04
  -10.72       -5.84            0.04
  -10.68       -5.84            0.04
  -10.64       -5.84            0.04
  -10.60       -5.84            0.04
  -10.56       -5.84            0.04
  -10.52       -5.84            0.03
  -10.48       -5.84            0.03
  -10.44       -5.84            0.03
  -10.40       -5.84            0.03
  -10.36       -5.84            0.03
  -10.32       -5.84            0.03
  -10.28       -5.84            0.03
  -10.24       -5.84            0.03
  -10.20       -5.84            0.03
  -10.16       -5.84            0.03
  -10.12       -5.84            0.03
  -10.08       -5.84            0.03
  -10.04       -5.84            0.03
  -10.00       -5.84            0.03
   -9.96       -5.84            0.03
   -9.92       -5.84            0.02
   -9.88       -5.84            0.02
   -9.84       -5.84            0.02
   -9.80       -5.84            0.02
   -9.76       -5.84            0.02
   -9.72       -5.84            0.02
   -9.68       -5.84            0.02
   -9.64       -5.84            0.02
   -9.60       -5.84            0.02
   -9.56       -5.84            0.02
   -9.52       -5.84            0.02
   -9.48       -5.84            0.02
   -9.44       -5.84            0.02
   -9.40       -5.84            0.02
   -9.36       -5.84            0.02
   -9.32       -5.84            0.02
   -9.28       -5.84            0.02
   -9.24       -5.84            0.02
   -9.20       -5.84            0.02
   -9.16       -5.84            0.02
   -9.12       -5.84            0.02
   -9.08       -5.84            0.02
   -9.04       -5.84            0.02
   -9.00       -5.84            0.02
   -8.96       -5.84            0.02
   -8.92       -5.84            0.02
   -8.88       -5.84            0.02
   -8.84       -5.84            0.02
   -8.80       -5.84            0.02
   -8.76       -5.84            0.02
   -8.72       -5.84            0.02
   -8.68       -5.84            0.02
   -8.64       -5.84            0.02
   -8.60       -5.84            0.02
   -8.56       -5.84            0.02
   -8.52       -5.84            0.02
   -8.48       -5.84            0.02
   -8.44       -5.84            0.02
   -8.40       -5.84            0.02
   -8.36       -5.84            0.02
   -8.32       -5.84            0.02
   -8.28       -5.84            0.02
   -8.24       -5.84            0.02
   -8.20       -5.84            0.02
   -8.16       -5.84            0.02
   -8.12       -5.84            0.02
   -8.08       -5.84            0.02
   -8.04       -5.84            0.02
   -8.00       -5.84            0.02
   -7.96       -5.84            0.02
   -7.92       -5.84            0.02
   -7.88       -5.84            0.02
   -7.84       -5.84            0.02
   -7.80       -5.84            0.02
   -7.76       -5.84            0.02
   -7.72       -5.84            0.02
   -7.68       -5.84            0.02
   -7.64       -5.84            0.02
   -7.60       -5.84            0.02
   -7.56       -5.84            0.02
   -7.52       -5.84            0.02
   -7.48       -5.84            0.02
   -7.44       -5.84            0.02
   -7.40       -5.84            0.02
   -7.36       -5.84            0.02
   -7.32       -5.84            0.02
   -7.28       -5.84            0.02
   -7.24       -5.84            0.02
   -7.20       -5.84            0.02
   -7.16       -5.84            0.02
   -7.12       -5.84            0.02
   -7.08       -5.84            0.02
   -7.04       -5.84            0.02
   -7.00       -5.84            0.02
   -6.96       -5.84            0.02
   -6.92       -5.84            0.02
   -6.88       -5.84            0.02
   -6.84       -5.84            0.02
   -6.80       -5.84            0.02
   -6.76       -5.84            0.02
   -6.72       -5.84            0.02
   -6.68       -5.84            0.02
   -6.64       -5.84            0.02
   -6.60       -5.84            0.02
   -6.56       -5.84            0.02
   -6.52       -5.84            0.02
   -6.48       -5.84            0.02
   -6.44       -5.84            0.02
   -6.40       -5.84            0.02
   -6.36       -5.84            0.02
   -6.32       -5.84            0.02
   -6.28       -5.84            0.02
   -6.24       -5.84            0.01
   -6.20       -5.84            0.01
   -6.16       -5.84            0.01
   -6.12       -5.84            0.01
   -6.08       -5.84            0.01
   -6.04       -5.84            0.01
   -6.00       -5.84            0.01
   -5.96       -5.84            0.01
   -5.92       -5.84            0.01
   -5.88       -5.84            0.01
   -5.84       -5.84            0.01
   -5.80       -5.84            0.01
   -5.76       -5.84            0.01
   -5.72       -5.84            0.01
   -5.68       -5.84            0.01
   -5.64       -5.84            0.01
   -5.60       -5.84            0.01
   -5.56       -5.84            0.01
   -5.52       -5.84            0.01
   -5.48       -5.84            0.01
   -5.44       -5.84            0.01
   -5.40       -5.84            0.01
   -5.36       -5.84            0.01
   -5.32       -5.84            0.01
   -5.28       -5.84            0.01
   -5.24       -5.84            0.01
   -5.20       -5.84            0.01
   -5.16       -5.84            0.01
   -5.12       -5.84            0.01
   -5.08       -5.84            0.00
   -5.04       -5.84            0.00
   -5.00       -5.84            0.00
   -4.96       -5.84            0.00
   -4.92       -5.84            0.00
   -4.88       -5.84            0.00
   -4.84       -5.84            0.00
   -4.80       -5.84            0.00
   -4.76       -5.84            0.00
   -4.72       -5.84            0.00
   -4.68       -5.84            0.00
   -4.64       -5.84            0.00
   -4.60       -5.84            0.00
   -4.56       -5.84            0.00
   -4.52       -5.84            0.00
   -4.48       -5.84            0.00
   -4.44       -5.84            0.00
   -4.40       -5.84            0.00
   -4.36       -5.84            0.00
   -4.32       -5.84            0.00
   -4.28       -5.84            0.00
   -4.24       -5.84            0.00
   -4.20       -5.84            0.00
   -4.16       -5.84            0.00
   -4.12       -5.84            0.00
   -4.08       -5.84            0.01
   -4.04       -5.84            0.01
   -4.00       -5.84            0.01
   -3.96       -5.84            0.01
   -3.92       -5.84            0.01
   -3.88       -5.84            0.01
   -3.84       -5.84            0.01
   -3.80       -5.84            0.01
   -3.76       -5.84            0.01
   -3.72       -5.84            0.01
   -3.68       -5.84            0.01
   -3.64       -5.84            0.01
   -3.60       -5.84            0.01
   -3.56       -5.84            0.01
   -3.52       -5.84            0.01
   -3.48       -5.84            0.01
   -3.44       -5.84            0.02
   -3.40       -5.84            0.02
   -3.36       -5.84            0.02
   -3.32       -5.84            0.02
   -3.28       -5.84            0.02
   -3.24       -5.84            0.02
   -3.20       -5.84            0.02
   -3.16       -5.84            0.02
   -3.12       -5.84            0.02
   -3.08       -5.84            0.02
   -3.04       -5.84            0.02
   -3.00       -5.84            0.03
   -2.96       -5.84            0.03
   -2.92       -5.84            0.03
   -2.88       -5.84            0.03
   -2.84       -5.84            0.03
   -2.80       -5.84            0.03
   -2.76       -5.84            0.03
   -2.72       -5.84            0.03
   -2.68       -5.84            0.03
   -2.64       -5.84            0.03
   -2.60       -5.84            0.04
   -2.56       -5.84            0.04
   -2.52       -5.84            0.04
   -2.48       -5.84            0.04
   -2.44       -5.84            0.04
   -2.40       -5.84            0.04
   -2.36       -5.84            0.04
   -2.32       -5.84            0.04
   -2.28       -5.84            0.04
   -2.24       -5.84            0.04
   -2.20       -5.84            0.04
   -2.16       -5.84            0.04
   -2.12       -5.84            0.04
   -2.08       -5.84            0.04
   -2.04       -5.84            0.04
   -2.00       -5.84            0.04
   -1.96       -5.84            0.04
   -1.92       -5.84            0.04
   -1.88       -5.84            0.04
   -1.84       -5.84            0.04
   -1.80       -5.84            0.04
   -1.76       -5.84            0.04
   -1.72       -5.84            0.04
   -1.68       -5.84            0.04
   -1.64       -5.84            0.04
   -1.60       -5.84            0.04
   -1.56       -5.84            0.04
   -1.52       -5.84            0.03
   -1.48       -5.84            0.03
   -1.44       -5.84            0.03
   -1.40       -5.84            0.03
   -1.36       -5.84            0.03
   -1.32       -5.84            0.03
   -1.28       -5.84            0.03
   -1.24       -5.84            0.03
   -1.20       -5.84            0.02
   -1.16       -5.84            0.02
   -1.12       -5.84            0.02
   -1.08       -5.84            0.02
   -1.04       -5.84            0.02
   -1.00       -5.84            0.02
   -0.96       -5.84            0.02
   -0.92       -5.84            0.02
   -0.88       -5.84            0.02
   -0.84       -5.84            0.02
   -0.80       -5.84            0.02
   -0.76       -5.84            0.02
   -0.72       -5.84            0.02
   -0.68       -5.84            0.02
   -0.64       -5.84            0.02
   -0.60       -5.84            0.02
   -0.56       -5.84            0.02
   -0.52       -5.84            0.02
   -0.48       -5.84            0.02
   -0.44       -5.84            0.02
   -0.40       -5.84            0.02
   -0.36       -5.84            0.03
   -0.32       -5.84            0.03
   -0.28       -5.84            0.03
   -0.24       -5.84            0.03
   -0.20       -5.84            0.03
   -0.16       -5.84            0.03
   -0.12       -5.84            0.03
 
  -11.92       -5.80            0.06
  -11.88       -5.80            0.06
  -11.84       -5.80            0.06
  -11.80       -5.80            0.06
  -11.76       -5.80            0.06
  -11.72       -5.80            0.06
  -11.68       -5.80            0.05
  -11.64       -5.80            0.05
  -11.60       -5.80            0.05
  -11.56       -5.80            0.05
  -11.52       -5.80            0.05
  -11.48       -5.80            0.05
  -11.44       -5.80            0.05
  -11.40       -5.80            0.05
  -11.36       -5.80            0.05
  -11.32       -5.80            0.05
  -11.28       -5.80            0.05
  -11.24       -5.80            0.05
  -11.20       -5.80            0.05
  -11.16       -5.80            0.05
  -11.12       -5.80            0.05
  -11.08       -5.80            0.05
  -11.04       -5.80            0.05
  -11.00       -5.80            0.04
  -10.96       -5.80            0.04
  -10.92       -5.80            0.04
  -10.88       -5.80            0.04
  -10.84       -5.80            0.04
  -10.80       -5.80            0.04
  -10.76       -5.80            0.04
  -10.72       -5.80            0.04
  -10.68       -5.80            0.04
  -10.64       -5.80            0.04
  -10.60       -5.80            0.04
  -10.56       -5.80            0.04
  -10.52       -5.80            0.03
  -10.48       -5.80            0.03
  -10.44       -5.80            0.03
  -10.40       -5.80            0.03
  -10.36       -5.80            0.03
  -10.32       -5.80            0.03
  -10.28       -5.80            0.03
  -10.24       -5.80            0.03
  -10.20       -5.80            0.03
